Subject,Sample,Scan
100610,1,RL
102311,1,LR
105014,1,RL
105115,1,LR
106016,1,RL
106824,1,RL
107725,1,RL
108828,1,RL
110613,1,LR
111716,1,LR
114217,1,RL
117021,1,LR
117122,1,LR
120111,1,LR
120414,1,LR
120717,1,RL
121618,1,LR
122822,1,RL
123521,1,LR
123723,1,RL
123925,1,LR
127226,1,RL
127630,1,RL
128127,1,RL
130720,1,RL
133019,1,RL
135124,1,RL
136227,1,RL
141119,1,LR
143224,1,LR
145127,1,LR
146533,1,RL
148133,1,LR
148335,1,RL
149236,1,RL
149337,1,RL
149741,1,LR
154835,1,LR
156233,1,RL
158843,1,LR
163331,1,RL
164636,1,RL
173435,1,LR
173536,1,LR
180432,1,LR
196144,1,RL
196346,1,RL
196750,1,RL
198855,1,RL
200513,1,LR
